აბატი	ɑbɑtʼɪ	ɑbɑtʼi
ფავორიტიზმი	pʰɑvɔrɪtʼɪzmɪ	pʰɑvɔritʼizmi
ფაიზაღი	pʰɑɪzɑʁɪ	pʰɑizɑɣi
ფაილი	pʰɑɪlɪ	pʰɑili
ფაიფური	pʰɑɪpʰurɪ	pʰɑipʰuri
ფაკირი	pʰɑkʼɪrɪ	pʰɑkʼiri
ფალავანი	pʰɑlɑvɑnɪ	pʰɑlɑvɑni
ფალაური	pʰɑlɑurɪ	pʰɑlɑuri
ფალსიფიკაცია	pʰɑlsɪpʰɪkʼɑtsɪɑ	pʰɑlsipʰikʼɑtsiɑ
ფანატიზმი	pʰɑnɑtʼɪzmɪ	pʰɑnɑtʼizmi
ფანატიკოსი	pʰɑnɑtʼɪkʼɔsɪ	pʰɑnɑtʼikʼɔsi
ფანატიკურად	pʰɑnɑtʼɪkʼurɑd	pʰɑnɑtʼikʼurɑd
ფანდი	pʰɑndɪ	pʰɑndi
ფანერი	pʰɑnɛrɪ	pʰɑnɛri
ფანტაზია	pʰɑntʼɑzɪɑ	pʰɑntʼɑziɑ
ფანტაზიორი	pʰɑntʼɑzɪɔrɪ	pʰɑntʼɑziɔri
ფანტომი	pʰɑntʼɔmɪ	pʰɑntʼɔmi
ფანჩატური	pʰɑntʃɑtʼurɪ	pʰɑntʃɑtʼuri
ფარაონი	pʰɑrɑɔnɪ	pʰɑrɑɔni
ფარდობითი	pʰɑrdɔbɪtʰɪ	pʰɑrdɔbitʰi
ფარდობითობა	pʰɑrdɔbɪtʰɔbɑ	pʰɑrdɔbitʰɔbɑ
ფარდული	pʰɑrdulɪ	pʰɑrduli
ფარვატერი	pʰɑrvɑtʼɛrɪ	pʰɑrvɑtʼɛri
ფარინგიტი	pʰɑrɪnɡɪtʼɪ	pʰɑrinɡitʼi
ფარისებლურად	pʰɑrɪsɛblurɑd	pʰɑrisɛblurɑd
ფარისევლური	pʰɑrɪsɛvlurɪ	pʰɑrisɛvluri
ფარმაკოლოგი	pʰɑrmɑkʼɔlɔɡɪ	pʰɑrmɑkʼɔlɔɡi
ფარმაკოლოგიურად	pʰɑrmɑkʼɔlɔɡɪurɑd	pʰɑrmɑkʼɔlɔɡiurɑd
ფარმაცევტი	pʰɑrmɑtsɛvtʼɪ	pʰɑrmɑtsɛvtʼi
ფარმაცევტული	pʰɑrmɑtsɛvtʼulɪ	pʰɑrmɑtsɛvtʼuli
ფარმაცია	pʰɑrmɑtsɪɑ	pʰɑrmɑtsiɑ
ფარული	pʰɑrulɪ	pʰɑruli
ფარფლი	pʰɑrpʰlɪ	pʰɑrpʰli
ფარში	pʰɑrʃɪ	pʰɑrʃi
ფასდაკლებული	pʰɑsdɑkʼlɛbulɪ	pʰɑsdɑkʼlɛbuli
ფასეული	pʰɑsɛulɪ	pʰɑsɛuli
ფატალიზმი	pʰɑtʼɑlɪzmɪ	pʰɑtʼɑlizmi
ფატალისტი	pʰɑtʼɑlɪstʼɪ	pʰɑtʼɑlistʼi
ფატალისტური	pʰɑtʼɑlɪstʼurɪ	pʰɑtʼɑlistʼuri
ფაქსიმილე	pʰɑkʰsɪmɪlɛ	pʰɑkʰsimilɛ
ფაქტიური	pʰɑkʰtʼɪurɪ	pʰɑkʰtʼiuri
ფაქტობრივად	pʰɑkʰtʼɔbrɪvɑd	pʰɑkʰtʼɔbrivɑd
ფაქტორი	pʰɑkʰtʼɔrɪ	pʰɑkʰtʼɔri
ფაშატი	pʰɑʃɑtʼɪ	pʰɑʃɑtʼi
ფაშიზმი	pʰɑʃɪzmɪ	pʰɑʃizmi
ფაშისტი	pʰɑʃɪstʼɪ	pʰɑʃistʼi
ფაშისტური	pʰɑʃɪstʼurɪ	pʰɑʃistʼuri
ფაციფუცი	pʰɑtsɪpʰutsɪ	pʰɑtsipʰutsi
ფედერალიზმი	pʰɛdɛrɑlɪzmɪ	pʰɛdɛrɑlizmi
ფედერალისტი	pʰɛdɛrɑlɪstʼɪ	pʰɛdɛrɑlistʼi
ფედერალური	pʰɛdɛrɑlurɪ	pʰɛdɛrɑluri
ფედერაცია	pʰɛdɛrɑtsɪɑ	pʰɛdɛrɑtsiɑ
ფედერაციამ	pʰɛdɛrɑtsɪɑm	pʰɛdɛrɑtsiɑm
ფედერაციას	pʰɛdɛrɑtsɪɑs	pʰɛdɛrɑtsiɑs
ფეთქებადი	pʰɛtʰkʰɛbɑdɪ	pʰɛtʰkʰɛbɑdi
ფეიერვერკი	pʰɛɪɛrvɛrkʼɪ	pʰɛiɛrvɛrkʼi
ფეიქარი	pʰɛɪkʰɑrɪ	pʰɛikʰɑri
ფეიხოა	pʰɛɪχɔɑ	pʰɛixɔɑ
ფეკალია	pʰɛkʼɑlɪɑ	pʰɛkʼɑliɑ
ფელიქსი	pʰɛlɪkʰsɪ	pʰɛlikʰsi
ფემინიზმი	pʰɛmɪnɪzmɪ	pʰɛminizmi
ფემინისტი	pʰɛmɪnɪstʼɪ	pʰɛministʼi
ფენიქსი	pʰɛnɪkʰsɪ	pʰɛnikʰsi
ფენოვანი	pʰɛnɔvɑnɪ	pʰɛnɔvɑni
ფენოლი	pʰɛnɔlɪ	pʰɛnɔli
ფენომენი	pʰɛnɔmɛnɪ	pʰɛnɔmɛni
ფეოდალიზმი	pʰɛɔdɑlɪzmɪ	pʰɛɔdɑlizmi
ფერდობი	pʰɛrdɔbɪ	pʰɛrdɔbi
ფერი	pʰɛrɪ	pʰɛri
ფერმენტაცია	pʰɛrmɛntʼɑtsɪɑ	pʰɛrmɛntʼɑtsiɑ
ფერმენტი	pʰɛrmɛntʼɪ	pʰɛrmɛntʼi
ფერმერი	pʰɛrmɛrɪ	pʰɛrmɛri
ფერფლისფერი	pʰɛrpʰlɪspʰɛrɪ	pʰɛrpʰlispʰɛri
ფერშალი	pʰɛrʃɑlɪ	pʰɛrʃɑli
ფერწერული	pʰɛrtsʼɛrulɪ	pʰɛrtsʼɛruli
ფესი	pʰɛsɪ	pʰɛsi
ფეტიში	pʰɛtʼɪʃɪ	pʰɛtʼiʃi
ფეტრი	pʰɛtʼrɪ	pʰɛtʼri
ფეხმარდად	pʰɛχmɑrdɑd	pʰɛxmɑrdɑd
ფეხმარდი	pʰɛχmɑrdɪ	pʰɛxmɑrdi
ფეხმრუდი	pʰɛχmrudɪ	pʰɛxmrudi
ფეხსაცმლის	pʰɛχsɑtsmlɪs	pʰɛxsɑtsmlis
ფეხშიშველა	pʰɛχʃɪʃvɛlɑ	pʰɛxʃiʃvɛlɑ
ფეხშიშველი	pʰɛχʃɪʃvɛlɪ	pʰɛxʃiʃvɛli
ფიასკო	pʰɪɑskʼɔ	pʰiɑskʼɔ
ფიბროზი	pʰɪbrɔzɪ	pʰibrɔzi
ფიბულა	pʰɪbulɑ	pʰibulɑ
ფიგურა	pʰɪɡurɑ	pʰiɡurɑ
ფიგურალურად	pʰɪɡurɑlurɑd	pʰiɡurɑlurɑd
ფიზიკოსი	pʰɪzɪkʼɔsɪ	pʰizikʼɔsi
ფიზიკურად	pʰɪzɪkʼurɑd	pʰizikʼurɑd
ფიზიოთერაპია	pʰɪzɪɔtʰɛrɑpʼɪɑ	pʰiziɔtʰɛrɑpʼiɑ
ფიზიოლოგი	pʰɪzɪɔlɔɡɪ	pʰiziɔlɔɡi
ფიზიოლოგია	pʰɪzɪɔlɔɡɪɑ	pʰiziɔlɔɡiɑ
ფიზიოლოგიური	pʰɪzɪɔlɔɡɪurɪ	pʰiziɔlɔɡiuri
ფიზიონომია	pʰɪzɪɔnɔmɪɑ	pʰiziɔnɔmiɑ
ფითრი	pʰɪtʰrɪ	pʰitʰri
ფითხი	pʰɪtʰχɪ	pʰitʰxi
ფილა	pʰɪlɑ	pʰilɑ
ფილადელფია	pʰɪlɑdɛlpʰɪɑ	pʰilɑdɛlpʰiɑ
ფილანტროპიულად	pʰɪlɑntʼrɔpʼɪulɑd	pʰilɑntʼrɔpʼiulɑd
ფილარმონიული	pʰɪlɑrmɔnɪulɪ	pʰilɑrmɔniuli
ფილატელია	pʰɪlɑtʼɛlɪɑ	pʰilɑtʼɛliɑ
ფილატელისტი	pʰɪlɑtʼɛlɪstʼɪ	pʰilɑtʼɛlistʼi
ფილე	pʰɪlɛ	pʰilɛ
ფილთაქვა	pʰɪltʰɑkʰvɑ	pʰiltʰɑkʰvɑ
ფილი	pʰɪlɪ	pʰili
ფილიგრანი	pʰɪlɪɡrɑnɪ	pʰiliɡrɑni
ფილიპი	pʰɪlɪpʼɪ	pʰilipʼi
ფილიპინური	pʰɪlɪpʼɪnurɪ	pʰilipʼinuri
ფილისტერი	pʰɪlɪstʼɛrɪ	pʰilistʼɛri
ფილისტერობა	pʰɪlɪstʼɛrɔbɑ	pʰilistʼɛrɔbɑ
ფილმი	pʰɪlmɪ	pʰilmi
ფილმის	pʰɪlmɪs	pʰilmis
ფილმმა	pʰɪlmmɑ	pʰilmmɑ
ფილმს	pʰɪlms	pʰilms
ფილოლოგი	pʰɪlɔlɔɡɪ	pʰilɔlɔɡi
ფილოლოგია	pʰɪlɔlɔɡɪɑ	pʰilɔlɔɡiɑ
ფილოლოგიური	pʰɪlɔlɔɡɪurɪ	pʰilɔlɔɡiuri
ფილოსოფია	pʰɪlɔsɔpʰɪɑ	pʰilɔsɔpʰiɑ
ფილოსოფიურად	pʰɪlɔsɔpʰɪurɑd	pʰilɔsɔpʰiurɑd
ფილოსოფიური	pʰɪlɔsɔpʰɪurɪ	pʰilɔsɔpʰiuri
ფილტრატი	pʰɪltʼrɑtʼɪ	pʰiltʼrɑtʼi
ფილტრაცია	pʰɪltʼrɑtsɪɑ	pʰiltʼrɑtsiɑ
ფილტრი	pʰɪltʼrɪ	pʰiltʼri
ფილტრიანი	pʰɪltʼrɪɑnɪ	pʰiltʼriɑni
ფინალი	pʰɪnɑlɪ	pʰinɑli
ფინალისტი	pʰɪnɑlɪstʼɪ	pʰinɑlistʼi
ფინანსისტი	pʰɪnɑnsɪstʼɪ	pʰinɑnsistʼi
ფინანსურად	pʰɪnɑnsurɑd	pʰinɑnsurɑd
ფინია	pʰɪnɪɑ	pʰiniɑ
ფინჯანი	pʰɪndʒɑnɪ	pʰindʒɑni
ფიორდი	pʰɪɔrdɪ	pʰiɔrdi
ფირი	pʰɪrɪ	pʰiri
ფირმა	pʰɪrmɑ	pʰirmɑ
ფირუზი	pʰɪruzɪ	pʰiruzi
ფისი	pʰɪsɪ	pʰisi
ფისკალური	pʰɪskʼɑlurɪ	pʰiskʼɑluri
ფისო	pʰɪsɔ	pʰisɔ
ფისტონი	pʰɪstʼɔnɪ	pʰistʼɔni
ფისტულა	pʰɪstʼulɑ	pʰistʼulɑ
ფისუნია	pʰɪsunɪɑ	pʰisuniɑ
ფიფქი	pʰɪpʰkʰɪ	pʰipʰkʰi
ფიქრიანობა	pʰɪkʰrɪɑnɔbɑ	pʰikʰriɑnɔbɑ
ფიქსაცია	pʰɪkʰsɑtsɪɑ	pʰikʰsɑtsiɑ
ფიცხად	pʰɪtsχɑd	pʰitsxɑd
ფიწალი	pʰɪtsʼɑlɪ	pʰitsʼɑli
ფიჭა	pʰɪtʃʼɑ	pʰitʃʼɑ
ფლაგმანი	pʰlɑɡmɑnɪ	pʰlɑɡmɑni
ფლაგშტოკი	pʰlɑɡʃtʼɔkʼɪ	pʰlɑɡʃtʼɔkʼi
ფლამანდიური	pʰlɑmɑndɪurɪ	pʰlɑmɑndiuri
ფლამინგო	pʰlɑmɪnɡɔ	pʰlɑminɡɔ
ფლანელი	pʰlɑnɛlɪ	pʰlɑnɛli
ფლეგმატური	pʰlɛɡmɑtʼurɪ	pʰlɛɡmɑtʼuri
ფლეიტისტი	pʰlɛɪtʼɪstʼɪ	pʰlɛitʼistʼi
ფლიგელი	pʰlɪɡɛlɪ	pʰliɡɛli
ფლიდი	pʰlɪdɪ	pʰlidi
ფლიდურად	pʰlɪdurɑd	pʰlidurɑd
ფლინტი	pʰlɪntʼɪ	pʰlintʼi
ფლიუგერი	pʰlɪuɡɛrɪ	pʰliuɡɛri
ფლორენცია	pʰlɔrɛntsɪɑ	pʰlɔrɛntsiɑ
ფლორი	pʰlɔrɪ	pʰlɔri
ფლორიდა	pʰlɔrɪdɑ	pʰlɔridɑ
ფლოსტი	pʰlɔstʼɪ	pʰlɔstʼi
ფლოტილია	pʰlɔtʼɪlɪɑ	pʰlɔtʼiliɑ
ფლოქსი	pʰlɔkʰsɪ	pʰlɔkʰsi
ფლუსი	pʰlusɪ	pʰlusi
ფოთლოვანი	pʰɔtʰlɔvɑnɪ	pʰɔtʰlɔvɑni
ფოიე	pʰɔɪɛ	pʰɔiɛ
ფოკი	pʰɔkʼɪ	pʰɔkʼi
ფოკუსი	pʰɔkʼusɪ	pʰɔkʼusi
ფოლიო	pʰɔlɪɔ	pʰɔliɔ
ფოლკლორი	pʰɔlkʼlɔrɪ	pʰɔlkʼlɔri
ფონემური	pʰɔnɛmurɪ	pʰɔnɛmuri
ფონეტიკა	pʰɔnɛtʼɪkʼɑ	pʰɔnɛtʼikʼɑ
ფონეტიკოსი	pʰɔnɛtʼɪkʼɔsɪ	pʰɔnɛtʼikʼɔsi
ფონეტიკურად	pʰɔnɛtʼɪkʼurɑd	pʰɔnɛtʼikʼurɑd
ფონეტიკური	pʰɔnɛtʼɪkʼurɪ	pʰɔnɛtʼikʼuri
ფონი	pʰɔnɪ	pʰɔni
ფონოგრაფი	pʰɔnɔɡrɑpʰɪ	pʰɔnɔɡrɑpʰi
ფონოლოგია	pʰɔnɔlɔɡɪɑ	pʰɔnɔlɔɡiɑ
ფონოლოგიური	pʰɔnɔlɔɡɪurɪ	pʰɔnɔlɔɡiuri
ფორებიანი	pʰɔrɛbɪɑnɪ	pʰɔrɛbiɑni
ფორვარდი	pʰɔrvɑrdɪ	pʰɔrvɑrdi
ფორზაცი	pʰɔrzɑtsɪ	pʰɔrzɑtsi
ფორიანობა	pʰɔrɪɑnɔbɑ	pʰɔriɑnɔbɑ
ფორიაქი	pʰɔrɪɑkʰɪ	pʰɔriɑkʰi
ფორმალდეჰიდი	pʰɔrmɑldɛhɪdɪ	pʰɔrmɑldɛhidi
ფორმალიზმი	pʰɔrmɑlɪzmɪ	pʰɔrmɑlizmi
ფორმალინი	pʰɔrmɑlɪnɪ	pʰɔrmɑlini
ფორმატი	pʰɔrmɑtʼɪ	pʰɔrmɑtʼi
ფორმიანი	pʰɔrmɪɑnɪ	pʰɔrmiɑni
ფორმირება	pʰɔrmɪrɛbɑ	pʰɔrmirɛbɑ
ფორმულირება	pʰɔrmulɪrɛbɑ	pʰɔrmulirɛbɑ
ფოროვანი	pʰɔrɔvɑnɪ	pʰɔrɔvɑni
ფორტიფიკაცია	pʰɔrtʼɪpʰɪkʼɑtsɪɑ	pʰɔrtʼipʰikʼɑtsiɑ
ფოსგენი	pʰɔsɡɛnɪ	pʰɔsɡɛni
ფოსტალიონი	pʰɔstʼɑlɪɔnɪ	pʰɔstʼɑliɔni
ფოსფატი	pʰɔspʰɑtʼɪ	pʰɔspʰɑtʼi
ფოსფორული	pʰɔspʰɔrulɪ	pʰɔspʰɔruli
ფოტოაპარატი	pʰɔtʼɔɑpʼɑrɑtʼɪ	pʰɔtʼɔɑpʼɑrɑtʼi
ფოტოასლი	pʰɔtʼɔɑslɪ	pʰɔtʼɔɑsli
ფოტოგენური	pʰɔtʼɔɡɛnurɪ	pʰɔtʼɔɡɛnuri
ფოტოგრაფი	pʰɔtʼɔɡrɑpʰɪ	pʰɔtʼɔɡrɑpʰi
ფოტოგრაფია	pʰɔtʼɔɡrɑpʰɪɑ	pʰɔtʼɔɡrɑpʰiɑ
ფოტოგრაფიულად	pʰɔtʼɔɡrɑpʰɪulɑd	pʰɔtʼɔɡrɑpʰiulɑd
ფოტოგრაფიული	pʰɔtʼɔɡrɑpʰɪulɪ	pʰɔtʼɔɡrɑpʰiuli
ფოტოსინთეზი	pʰɔtʼɔsɪntʰɛzɪ	pʰɔtʼɔsintʰɛzi
ფოჩი	pʰɔtʃɪ	pʰɔtʃi
ფოცხვერი	pʰɔtsχvɛrɪ	pʰɔtsxvɛri
ფრაგმენტული	pʰrɑɡmɛntʼulɪ	pʰrɑɡmɛntʼuli
ფრაზული	pʰrɑzulɪ	pʰrɑzuli
ფრაკი	pʰrɑkʼɪ	pʰrɑkʼi
ფრანგული	pʰrɑnɡulɪ	pʰrɑnɡuli
ფრანკი	pʰrɑnkʼɪ	pʰrɑnkʼi
ფრანკლინი	pʰrɑnkʼlɪnɪ	pʰrɑnkʼlini
ფრანკფურტი	pʰrɑnkʼpʰurtʼɪ	pʰrɑnkʼpʰurtʼi
ფრაქცია	pʰrɑkʰtsɪɑ	pʰrɑkʰtsiɑ
ფრაქციული	pʰrɑkʰtsɪulɪ	pʰrɑkʰtsiuli
ფრეგატი	pʰrɛɡɑtʼɪ	pʰrɛɡɑtʼi
ფრედერიკი	pʰrɛdɛrɪkʼɪ	pʰrɛdɛrikʼi
ფრედი	pʰrɛdɪ	pʰrɛdi
ფრეილინა	pʰrɛɪlɪnɑ	pʰrɛilinɑ
ფრენკი	pʰrɛnkʼɪ	pʰrɛnkʼi
ფრენოლოგია	pʰrɛnɔlɔɡɪɑ	pʰrɛnɔlɔɡiɑ
ფრთაშესხმული	pʰrtʰɑʃɛsχmulɪ	pʰrtʰɑʃɛsxmuli
ფრიად	pʰrɪɑd	pʰriɑd
ფრიალოდ	pʰrɪɑlɔd	pʰriɑlɔd
ფრიზი	pʰrɪzɪ	pʰrizi
ფრიტრედერი	pʰrɪtʼrɛdɛrɪ	pʰritʼrɛdɛri
ფრონტალური	pʰrɔntʼɑlurɪ	pʰrɔntʼɑluri
ფრონტონი	pʰrɔntʼɔnɪ	pʰrɔntʼɔni
ფსიტი	pʰsɪtʼɪ	pʰsitʼi
ფსიქიატრი	pʰsɪkʰɪɑtʼrɪ	pʰsikʰiɑtʼri
ფსიქიატრია	pʰsɪkʰɪɑtʼrɪɑ	pʰsikʰiɑtʼriɑ
ფსიქიატრიული	pʰsɪkʰɪɑtʼrɪulɪ	pʰsikʰiɑtʼriuli
ფსიქიური	pʰsɪkʰɪurɪ	pʰsikʰiuri
ფსიქოანალიზი	pʰsɪkʰɔɑnɑlɪzɪ	pʰsikʰɔɑnɑlizi
ფსიქოზი	pʰsɪkʰɔzɪ	pʰsikʰɔzi
ფსიქოთერაპია	pʰsɪkʰɔtʰɛrɑpʼɪɑ	pʰsikʰɔtʰɛrɑpʼiɑ
ფსიქოლოგი	pʰsɪkʰɔlɔɡɪ	pʰsikʰɔlɔɡi
ფსიქოლოგია	pʰsɪkʰɔlɔɡɪɑ	pʰsikʰɔlɔɡiɑ
ფსიქოლოგიურად	pʰsɪkʰɔlɔɡɪurɑd	pʰsikʰɔlɔɡiurɑd
ფსიქოპათი	pʰsɪkʰɔpʼɑtʰɪ	pʰsikʰɔpʼɑtʰi
ფსკერი	pʰskʼɛrɪ	pʰskʼɛri
ფუგასი	pʰuɡɑsɪ	pʰuɡɑsi
ფულადი	pʰulɑdɪ	pʰulɑdi
ფუნდამენტი	pʰundɑmɛntʼɪ	pʰundɑmɛntʼi
ფუნიკულიორი	pʰunɪkʼulɪɔrɪ	pʰunikʼuliɔri
ფუნტი	pʰuntʼɪ	pʰuntʼi
ფუნქციონალურად	pʰunkʰtsɪɔnɑlurɑd	pʰunkʰtsiɔnɑlurɑd
ფუნჯი	pʰundʒɪ	pʰundʒi
ფურგონი	pʰurɡɔnɪ	pʰurɡɔni
ფურფუშებიანი	pʰurpʰuʃɛbɪɑnɪ	pʰurpʰuʃɛbiɑni
ფუტლარი	pʰutʼlɑrɪ	pʰutʼlɑri
ფუტურიზმი	pʰutʼurɪzmɪ	pʰutʼurizmi
ფუტურისტი	pʰutʼurɪstʼɪ	pʰutʼuristʼi
ფუფაიკა	pʰupʰɑɪkʼɑ	pʰupʰɑikʼɑ
ფუფუნებით	pʰupʰunɛbɪtʰ	pʰupʰunɛbitʰ
ფუჭებადი	pʰutʃʼɛbɑdɪ	pʰutʃʼɛbɑdi
ფქვილოვანი	pʰkʰvɪlɔvɑnɪ	pʰkʰvilɔvɑni
ფხა	pʰχɑ	pʰxɑ
ფხიზლად	pʰχɪzlɑd	pʰxizlɑd
ქაირო	kʰɑɪrɔ	kʰɑirɔ
ქალაბიჭა	kʰɑlɑbɪtʃʼɑ	kʰɑlɑbitʃʼɑ
ქალაქით	kʰɑlɑkʰɪtʰ	kʰɑlɑkʰitʰ
ქალაქის	kʰɑlɑkʰɪs	kʰɑlɑkʰis
ქალიშვილობა	kʰɑlɪʃvɪlɔbɑ	kʰɑliʃvilɔbɑ
ქალწულებრივი	kʰɑltsʼulɛbrɪvɪ	kʰɑltsʼulɛbrivi
ქალწულური	kʰɑltsʼulurɪ	kʰɑltsʼuluri
ქამანდი	kʰɑmɑndɪ	kʰɑmɑndi
ქამარი	kʰɑmɑrɪ	kʰɑmɑri
ქამელეონი	kʰɑmɛlɛɔnɪ	kʰɑmɛlɛɔni
ქარაგმული	kʰɑrɑɡmulɪ	kʰɑrɑɡmuli
ქარავანი	kʰɑrɑvɑnɪ	kʰɑrɑvɑni
ქარბუქი	kʰɑrbukʰɪ	kʰɑrbukʰi
ქარგალი	kʰɑrɡɑlɪ	kʰɑrɡɑli
ქართლით	kʰɑrtʰlɪtʰ	kʰɑrtʰlitʰ
ქართლის	kʰɑrtʰlɪs	kʰɑrtʰlis
ქარიზმა	kʰɑrɪzmɑ	kʰɑrizmɑ
ქარიზმატული	kʰɑrɪzmɑtʼulɪ	kʰɑrizmɑtʼuli
ქარიყლაპია	kʰɑrɪqʼlɑpʼɪɑ	kʰɑriqʼlɑpʼiɑ
ქარიშხალი	kʰɑrɪʃχɑlɪ	kʰɑriʃxɑli
ქარიშხლიანი	kʰɑrɪʃχlɪɑnɪ	kʰɑriʃxliɑni
ქარსაზომი	kʰɑrsɑzɔmɪ	kʰɑrsɑzɔmi
ქარხანა	kʰɑrχɑnɑ	kʰɑrxɑnɑ
ქარხნული	kʰɑrχnulɪ	kʰɑrxnuli
ქაფი	kʰɑpʰɪ	kʰɑpʰi
ქაფიანი	kʰɑpʰɪɑnɪ	kʰɑpʰiɑni
ქაფური	kʰɑpʰurɪ	kʰɑpʰuri
ქაფქირი	kʰɑpʰkʰɪrɪ	kʰɑpʰkʰiri
ქაფშია	kʰɑpʰʃɪɑ	kʰɑpʰʃiɑ
ქაშაყი	kʰɑʃɑqʼɪ	kʰɑʃɑqʼi
ქაშმირი	kʰɑʃmɪrɪ	kʰɑʃmiri
ქებით	kʰɛbɪtʰ	kʰɛbitʰ
ქედით	kʰɛdɪtʰ	kʰɛditʰ
ქედის	kʰɛdɪs	kʰɛdis
ქედმაღალი	kʰɛdmɑʁɑlɪ	kʰɛdmɑɣɑli
ქედმაღლობა	kʰɛdmɑʁlɔbɑ	kʰɛdmɑɣlɔbɑ
ქედმაღლურად	kʰɛdmɑʁlurɑd	kʰɛdmɑɣlurɑd
ქეთრინი	kʰɛtʰrɪnɪ	kʰɛtʰrini
ქერი	kʰɛrɪ	kʰɛri
ქერქი	kʰɛrkʰɪ	kʰɛrkʰi
ქერქიანი	kʰɛrkʰɪɑnɪ	kʰɛrkʰiɑni
ქერცლი	kʰɛrtslɪ	kʰɛrtsli
ქერცლიანი	kʰɛrtslɪɑnɪ	kʰɛrtsliɑni
ქვაკუთხედი	kʰvɑkʼutʰχɛdɪ	kʰvɑkʼutʰxɛdi
ქვამარილი	kʰvɑmɑrɪlɪ	kʰvɑmɑrili
ქვატეხია	kʰvɑtʼɛχɪɑ	kʰvɑtʼɛxiɑ
ქვაფენილი	kʰvɑpʰɛnɪlɪ	kʰvɑpʰɛnili
ქვეკომისია	kʰvɛkʼɔmɪsɪɑ	kʰvɛkʼɔmisiɑ
ქვემდგომი	kʰvɛmdɡɔmɪ	kʰvɛmdɡɔmi
ქვენიადაგი	kʰvɛnɪɑdɑɡɪ	kʰvɛniɑdɑɡi
ქვესადგური	kʰvɛsɑdɡurɪ	kʰvɛsɑdɡuri
ქვესათაური	kʰvɛsɑtʰɑurɪ	kʰvɛsɑtʰɑuri
ქვესექცია	kʰvɛsɛkʰtsɪɑ	kʰvɛsɛkʰtsiɑ
ქვეტექსტი	kʰvɛtʼɛkʰstʼɪ	kʰvɛtʼɛkʰstʼi
ქვეცნობიერად	kʰvɛtsnɔbɪɛrɑd	kʰvɛtsnɔbiɛrɑd
ქვეცნობიერი	kʰvɛtsnɔbɪɛrɪ	kʰvɛtsnɔbiɛri
ქვეჯგუფი	kʰvɛdʒɡupʰɪ	kʰvɛdʒɡupʰi
ქვირითი	kʰvɪrɪtʰɪ	kʰviritʰi
ქვისლი	kʰvɪslɪ	kʰvisli
ქვისმთლელი	kʰvɪsmtʰlɛlɪ	kʰvismtʰlɛli
ქვიშიანი	kʰvɪʃɪɑnɪ	kʰviʃiɑni
ქიმერა	kʰɪmɛrɑ	kʰimɛrɑ
ქიმერული	kʰɪmɛrulɪ	kʰimɛruli
ქიმია	kʰɪmɪɑ	kʰimiɑ
ქიმიკოსი	kʰɪmɪkʼɔsɪ	kʰimikʼɔsi
ქიმიურად	kʰɪmɪurɑd	kʰimiurɑd
ქიმწმენდა	kʰɪmtsʼmɛndɑ	kʰimtsʼmɛndɑ
ქინაქინა	kʰɪnɑkʰɪnɑ	kʰinɑkʰinɑ
ქირომანტი	kʰɪrɔmɑntʼɪ	kʰirɔmɑntʼi
ქირომანტია	kʰɪrɔmɑntʼɪɑ	kʰirɔmɑntʼiɑ
ქირურგიულად	kʰɪrurɡɪulɑd	kʰirurɡiulɑd
ქირურგიული	kʰɪrurɡɪulɪ	kʰirurɡiuli
ქიშმირი	kʰɪʃmɪrɪ	kʰiʃmiri
ქიშმიში	kʰɪʃmɪʃɪ	kʰiʃmiʃi
ქლოროფილი	kʰlɔrɔpʰɪlɪ	kʰlɔrɔpʰili
ქლოროფორმი	kʰlɔrɔpʰɔrmɪ	kʰlɔrɔpʰɔrmi
ქმნილება	kʰmnɪlɛbɑ	kʰmnilɛbɑ
ქოთანი	kʰɔtʰɑnɪ	kʰɔtʰɑni
ქონდარი	kʰɔndɑrɪ	kʰɔndɑri
ქორეოგრაფი	kʰɔrɛɔɡrɑpʰɪ	kʰɔrɛɔɡrɑpʰi
ქორეოგრაფია	kʰɔrɛɔɡrɑpʰɪɑ	kʰɔrɛɔɡrɑpʰiɑ
ქორწილი	kʰɔrtsʼɪlɪ	kʰɔrtsʼili
ქოში	kʰɔʃɪ	kʰɔʃi
ქოშინი	kʰɔʃɪnɪ	kʰɔʃini
ქოჩრიანი	kʰɔtʃrɪɑnɪ	kʰɔtʃriɑni
ქრთამი	kʰrtʰɑmɪ	kʰrtʰɑmi
ქრიზანთემა	kʰrɪzɑntʰɛmɑ	kʰrizɑntʰɛmɑ
ქრისტესისხლა	kʰrɪstʼɛsɪsχlɑ	kʰristʼɛsisxlɑ
ქრისტიანი	kʰrɪstʼɪɑnɪ	kʰristʼiɑni
ქრისტინე	kʰrɪstʼɪnɛ	kʰristʼinɛ
ქრისტოფერი	kʰrɪstʼɔpʰɛrɪ	kʰristʼɔpʰɛri
ქრონიკა	kʰrɔnɪkʼɑ	kʰrɔnikʼɑ
ქრონიკულად	kʰrɔnɪkʼulɑd	kʰrɔnikʼulɑd
ქრონიკული	kʰrɔnɪkʼulɪ	kʰrɔnikʼuli
ქრონოლოგია	kʰrɔnɔlɔɡɪɑ	kʰrɔnɔlɔɡiɑ
ქრონოლოგიურად	kʰrɔnɔlɔɡɪurɑd	kʰrɔnɔlɔɡiurɑd
ქრონოლოგიური	kʰrɔnɔlɔɡɪurɪ	kʰrɔnɔlɔɡiuri
